,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,CALLS_PER_DAY_NYC
230,2013-08-29,78,72,0.0,10,16,3,3,False,3510.0
231,2013-08-30,85,70,0.0,10,13,4,3,False,3697.0
232,2013-08-31,85,73,0.0,10,15,5,3,False,3840.0
233,2013-09-01,84,75,0.0,10,13,6,4,False,3669.0
234,2013-09-02,81,72,0.0,10,14,0,4,True,3580.0
235,2013-09-03,82,72,0.0,10,16,1,4,False,3599.0
236,2013-09-04,82,67,0.0,10,18,2,4,False,3560.0
237,2013-09-05,77,67,0.0,10,15,3,4,False,3386.0
238,2013-09-06,71,57,0.0,10,13,4,4,False,3572.0
239,2013-09-07,78,61,0.0,10,15,5,4,False,3476.0
240,2013-09-08,80,66,0.0,10,18,6,4,False,3384.0
241,2013-09-09,72,59,0.0,10,13,0,4,False,3387.0
242,2013-09-10,87,69,0.0,10,13,1,4,False,3719.0
243,2013-09-11,93,77,0.0,10,16,2,4,False,3745.0
244,2013-09-12,85,71,0.0,10,21,3,4,False,3877.0
245,2013-09-13,76,62,0.0,10,20,4,4,False,3739.0
246,2013-09-14,66,56,0.0,10,16,5,4,False,3475.0
247,2013-09-15,72,54,0.0,10,13,6,4,False,3361.0
248,2013-09-16,71,61,0.0,10,18,0,4,False,3652.0
249,2013-09-17,64,50,0.0,10,17,1,4,False,3347.0
250,2013-09-18,71,55,0.0,10,12,2,4,False,3503.0
251,2013-09-19,76,57,0.0,10,14,3,4,False,3519.0
252,2013-09-20,77,62,0.0,10,15,4,4,False,3837.0
253,2013-09-21,75,61,0.0,10,24,5,4,False,3544.0
254,2013-09-22,70,58,0.0,10,21,6,4,False,3441.0
255,2013-09-23,66,52,0.0,10,17,0,4,False,3702.0
256,2013-09-24,73,50,0.0,10,14,1,4,False,3684.0
257,2013-09-25,72,55,0.0,10,9,2,4,False,3610.0
258,2013-09-26,68,59,0.0,10,16,3,4,False,3591.0
259,2013-09-27,66,57,0.0,10,12,4,4,False,3596.0
260,2013-09-28,72,58,0.0,10,13,5,4,False,3524.0
261,2013-09-29,70,60,0.0,10,12,6,4,False,3423.0
262,2013-09-30,73,58,0.0,10,9,0,4,False,3611.0
263,2013-10-01,80,62,0.0,10,12,1,4,False,3766.0
264,2013-10-02,84,66,0.0,10,13,2,4,False,4053.0
265,2013-10-03,79,65,0.0,10,8,3,4,False,3926.0
266,2013-10-04,85,68,0.0,10,14,4,4,False,3843.0
267,2013-10-05,73,64,0.0,10,14,5,4,False,3535.0
268,2013-10-06,70,64,0.0,9,14,6,4,False,3449.0
269,2013-10-07,77,63,0.0,10,26,0,4,False,3693.0
270,2013-10-08,66,56,0.0,10,16,1,4,False,3550.0
271,2013-10-09,63,54,0.0,10,22,2,4,False,3510.0
272,2013-10-10,65,55,0.0,10,22,3,4,False,3485.0
273,2013-10-11,69,61,0.0,10,22,4,4,False,3590.0
274,2013-10-12,72,61,0.0,10,24,5,4,False,3520.0
275,2013-10-13,64,57,0.0,10,23,6,4,False,3331.0
276,2013-10-14,64,53,0.0,10,10,0,4,True,3298.0
277,2013-10-15,68,56,0.0,10,12,1,4,False,3786.0
278,2013-10-16,64,57,0.0,10,10,2,4,False,3404.0
279,2013-10-17,72,61,0.0,10,14,3,4,False,3605.0
280,2013-10-18,68,58,0.0,10,22,4,4,False,3734.0
281,2013-10-19,63,54,0.0,10,10,5,4,False,3477.0
282,2013-10-20,63,51,0.0,10,21,6,4,False,3251.0
283,2013-10-21,66,53,0.0,10,16,0,4,False,3603.0
284,2013-10-22,66,54,0.0,10,15,1,4,False,3492.0
285,2013-10-23,54,48,0.0,10,16,2,4,False,3326.0
286,2013-10-25,54,42,0.0,10,20,4,4,False,3523.0
287,2013-10-26,55,44,0.0,10,20,5,4,False,3368.0
288,2013-10-27,58,49,0.0,10,15,6,4,False,3272.0
289,2013-10-28,61,45,0.0,10,15,0,4,False,3720.0
290,2013-10-29,54,44,0.0,10,12,1,4,False,3550.0
291,2013-10-30,59,48,0.0,10,12,2,4,False,3506.0
292,2013-10-31,65,54,0.0,10,14,3,4,False,3575.0
293,2013-11-01,70,62,0.0,10,21,4,4,False,4178.0
294,2013-11-02,67,56,0.0,10,15,5,4,False,3691.0
295,2013-11-04,45,34,0.0,10,16,0,4,False,3541.0
296,2013-11-06,59,48,0.0,10,14,2,4,False,3594.0
297,2013-11-07,63,46,0.0,10,24,3,4,False,3539.0
298,2013-11-08,49,41,0.0,10,22,4,4,False,3483.0
299,2013-11-09,50,40,0.0,10,16,5,4,False,3367.0
300,2013-11-10,60,45,0.0,10,25,6,4,False,3303.0
301,2013-11-11,53,44,0.0,10,23,0,4,True,3264.0
302,2013-11-12,51,33,0.0,10,22,1,4,False,3338.0
303,2013-11-13,39,30,0.0,10,20,2,4,False,3385.0
304,2013-11-14,52,35,0.0,10,18,3,4,False,3448.0
305,2013-11-15,56,43,0.0,10,10,4,4,False,3791.0
306,2013-11-16,58,47,0.0,10,14,5,4,False,3460.0
307,2013-11-17,61,48,0.0,7,12,6,4,False,3354.0
308,2013-11-18,65,54,0.0,10,18,0,4,False,3705.0
309,2013-11-19,50,38,0.0,10,26,1,4,False,3434.0
310,2013-11-20,44,32,0.0,10,15,2,4,False,3422.0
311,2013-11-21,51,36,0.0,10,12,3,4,False,3406.0
312,2013-11-23,54,34,0.0,10,30,5,4,False,3322.0
313,2013-11-24,30,24,0.0,10,31,6,4,False,3023.0
314,2013-11-25,35,24,0.0,10,18,0,4,False,3489.0
315,2013-11-26,44,34,0.0,10,12,1,4,False,3623.0
316,2013-11-27,59,36,0.0,10,26,2,4,False,3336.0
317,2013-11-28,35,31,0.0,10,28,3,4,True,2813.0
318,2013-11-29,38,32,0.0,10,17,4,4,False,3302.0
319,2013-11-30,37,25,0.0,10,14,5,4,False,3124.0
320,2013-12-02,45,41,0.0,10,9,0,1,False,3762.0
321,2013-12-03,53,38,0.0,10,9,1,1,False,3636.0
322,2013-12-04,48,40,0.0,8,9,2,1,False,3723.0
323,2013-12-05,58,46,0.0,10,10,3,1,False,3801.0
324,2013-12-06,55,37,0.0,10,17,4,1,False,3800.0
325,2013-12-07,41,34,0.0,10,17,5,1,False,3366.0
326,2013-12-08,33,28,0.0,10,15,6,1,False,3080.0
327,2013-12-09,39,32,0.0,10,23,0,1,False,3623.0
328,2013-12-10,38,31,0.0,10,18,1,1,False,3395.0
329,2013-12-11,33,27,0.0,10,20,2,1,False,3489.0
330,2013-12-12,29,23,0.0,10,21,3,1,False,3522.0
331,2013-12-13,35,25,0.0,10,21,4,1,False,3624.0
332,2013-12-14,36,24,0.0,10,29,5,1,False,3573.0
333,2013-12-15,39,30,0.0,10,28,6,1,False,3308.0
334,2013-12-16,33,26,0.0,10,22,0,1,False,3818.0
335,2013-12-17,32,24,0.0,10,16,1,1,False,3821.0
336,2013-12-18,37,24,0.0,10,18,2,1,False,3869.0
337,2013-12-19,44,31,0.0,10,16,3,1,False,3905.0
338,2013-12-20,52,39,0.0,10,13,4,1,False,3885.0
339,2013-12-21,60,50,0.0,10,15,5,1,False,3952.0
340,2013-12-22,69,53,0.0,10,18,6,1,False,3622.0
341,2013-12-24,41,29,0.0,10,21,1,1,False,3290.0
342,2013-12-25,30,20,0.0,10,22,2,1,True,3207.0
343,2013-12-26,36,30,0.0,10,15,3,1,False,3329.0
344,2013-12-27,40,33,0.0,10,18,4,1,False,3481.0
345,2013-12-28,55,36,0.0,10,20,5,1,False,3435.0
346,2013-12-29,47,39,0.0,10,21,6,1,False,3269.0
347,2013-12-30,44,25,0.0,10,22,0,1,False,3373.0
348,2013-12-31,32,21,0.0,10,22,1,1,False,3249.0
349,2014-01-01,33,25,0.0,10,17,2,1,True,4405.0
350,2014-01-04,27,10,0.0,10,10,5,1,False,3499.0
351,2014-01-05,48,26,0.0,10,16,6,1,False,4156.0
352,2014-01-06,52,26,0.0,10,28,0,1,False,4062.0
353,2014-01-07,15,4,0.0,10,28,1,1,False,3613.0
354,2014-01-08,23,9,0.0,10,16,2,1,False,3617.0
355,2014-01-09,33,23,0.0,10,14,3,1,False,3719.0
356,2014-01-10,34,27,0.0,10,8,4,1,False,4232.0
357,2014-01-11,55,34,0.0,10,23,5,1,False,3685.0
358,2014-01-12,54,40,0.0,10,23,6,1,False,3282.0
359,2014-01-13,49,35,0.0,10,15,0,1,False,3901.0
